place_id,name,types,rating,user_ratings_total,price_level,lat,lon,vicinity,business_status,editorial_summary,website,international_phone_number,cuisine_detected,cuisine_source,top_review_language,top_language_share,n_reviews_fetched,review_language_counts_json,cuisine_detected_original,cuisine_source_original
ChIJT52k3-ZlxkcRX9QLQ02Fr3M,Catering MoMo's,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant,store",4.0,1.0,,52.0459663,5.0483763,"Nedereindseweg 538-A, Utrecht",OPERATIONAL,,http://www.momos.nl/,+31 30 752 0720,catering,website_text,und,1.0,1,"{""und"": 1}",unknown,
ChIJ4YIsYwplxkcRQlr5TrBRlLY,Restaurant Smaak & Stijl,"establishment,food,point_of_interest,restaurant",4.2,430.0,2.0,52.0587064,5.0785002,"Galecopperzoom 5, Nieuwegein",OPERATIONAL,,http://www.smaakenstijl.com/,+31 30 604 2293,european,website_text,en,1.0,5,"{""en"": 5}",unknown,
ChIJE_pYELRlxkcR9D1liV5uo-o,McDonald's,"establishment,food,meal_takeaway,point_of_interest,restaurant",3.7,3168.0,2.0,52.0476375,5.0870882,"Symfonielaan 3, Nieuwegein",OPERATIONAL,"Classic, long-running fast-food chain known for its burgers & fries.",http://www.mcdonaldsnieuwegein.nl/,+31 30 604 7272,fast_food,chain_name_website,en,1.0,5,"{""en"": 5}",american,reviews
ChIJJbm5v69lxkcRsR23x5L0TpM,Shell,"car_repair,car_wash,convenience_store,establishment,food,gas_station,point_of_interest,restaurant,store",3.5,65.0,2.0,52.0483208,5.0869415,"A.C. Verhoefweg 1, Nieuwegein",OPERATIONAL,,https://find.shell.com/nl/fuel/10030400-shell-station-s15/nl_NL,+31 30 604 6067,convenience,chain_name_website,en,1.0,5,"{""en"": 5}",unknown,
ChIJmSp9lKplxkcRx2J-ilO9btQ,New York Pizza,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant",3.3,172.0,2.0,52.04119660000001,5.075594199999999,"Waardijnburg 1A, Nieuwegein",OPERATIONAL,"Pies, subs, baked pastas & other Italian faves are served at this standard eat-in & take-out spot.",https://www.newyorkpizza.nl/?store=79&utm_medium=organic&utm_source=GMBlisting,+31 30 800 0610,italian,keyword_name_website,en,1.0,5,"{""en"": 5}",italian,name
ChIJA4iemqZlxkcRojxueIsSd-c,Kwalitaria Galecop,"establishment,food,point_of_interest,restaurant",3.8,189.0,2.0,52.05345800000001,5.0817591,"Winkelcentrum Galecop 5, Nieuwegein",OPERATIONAL,,https://www.kwalitaria.nl/?utm_source=google&utm_medium=organic&utm_campaign=organic_gmb,+31 30 604 7350,fast_food,chain_name_website,en,1.0,5,"{""en"": 5}",italian,reviews
ChIJVec9_aplxkcRQhXS9w0TrpE,The lighthouse,"establishment,food,meal_delivery,point_of_interest,restaurant",4.5,283.0,2.0,52.041644,5.0773385,"Muntplein 13, Nieuwegein",OPERATIONAL,,http://www.eetcafedevuurtoren.nl/,+31 30 604 4888,pub,search_snippet,en,1.0,5,"{""en"": 5}",unknown,
ChIJiYPl86plxkcRaIdLMKqwht4,Dimitra Fastfood,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.4,231.0,1.0,52.0423394,5.076279299999999,"Waardijnburg 11, Nieuwegein",OPERATIONAL,,http://www.dimitrafastfood.nl/,+31 30 603 9536,greek,original,en,1.0,5,"{""en"": 5}",greek,reviews
ChIJJdQzJwBlxkcRGnyn5dfr2mo,BHOJANA -JANU'S KITCHEN,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.7,11.0,,52.0533555,5.081612799999999,"Winkelcentrum Galecop 7-13, Nieuwegein",OPERATIONAL,,http://www.januskitchen.nl/,+31 6 17429888,indian,original,en,1.0,5,"{""en"": 5}",indian,reviews
ChIJ7dgyQ_llxkcR-sPpISeuckg,Treesje.nl,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant",5.0,1.0,,52.0535824,5.081640800000001,"Winkelcentrum Galecop 3b, Nieuwegein",OPERATIONAL,,https://www.treesje.nl/,+31 30 603 9872,surinamese,website_text,en-US,1.0,1,"{""en-US"": 1}",unknown,
